year,month,stocks,cash,crypto
2023,4,560,130,0
2023,5,580,130,0
2023,6,640,130,0
2023,7,610,130,0
2023,8,610,130,0
2023,9,650,130,0
2023,10,640,130,0
2023,11,640,130,0
2023,12,640,130,0
2024,1,830,130,10
2024,2,860,130,10
2024,3,880,130,10
2024,4,900,130,10
2024,5,900,130,10
2024,6,900,130,10
2024,7,900,130,10
2024,8,900,130,10
2024,9,880,130,10
2024,10,870,130,10
2024,11,940,130,10
2024,12,960,130,10
2025,1,1010,150,20
2025,2,1000,150,20
2025,3,980,150,20
2025,4,920,150,20
2025,5,960,150,20
2025,6,1030,150,20
2025,7,1000,150,20
2025,8,1000,150,20
2025,9,1120,150,20
2025,10,1130,150,20
2025,11,1190,150,20
2025,12,1250,150,20
2026,1,1280,150,20
2026,2,1300,150,20
2026,3,1310,150,20
